[DEBUG] 14-06-2020 22:55:21.305 [main] logging - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[DEBUG] 14-06-2020 22:55:21.329 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 14-06-2020 22:55:21.331 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 14-06-2020 22:55:21.335 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 14-06-2020 22:55:21.395 [main] Version - HHH000412: Hibernate Core {5.4.10.Final}
[DEBUG] 14-06-2020 22:55:21.396 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 14-06-2020 22:55:21.600 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD 3.0//EN] - [http://hibernate.sourceforge.net/hibernate-configuration-3.0.dtd]
[WARN ] 14-06-2020 22:55:21.602 [main] deprecation - HHH90000012: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/hibernate-configuration. Use namespace http://www.hibernate.org/dtd/hibernate-configuration instead.  Support for obsolete DTD/XSD namespaces may be removed at any time.
[DEBUG] 14-06-2020 22:55:21.602 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 14-06-2020 22:55:21.607 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 14-06-2020 22:55:21.890 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 14-06-2020 22:55:21.910 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[class org.hibernate.cache.ehcache.internal.EhcacheRegionFactory, class org.hibernate.cache.ehcache.internal.SingletonEhcacheRegionFactory]` RegionFactory strategies were registered
[DEBUG] 14-06-2020 22:55:21.911 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 14-06-2020 22:55:21.935 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 14-06-2020 22:55:22.161 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@12d2ce03
[DEBUG] 14-06-2020 22:55:22.161 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@12d2ce03
[DEBUG] 14-06-2020 22:55:22.162 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@12d2ce03
[DEBUG] 14-06-2020 22:55:22.162 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@1f53a5dc
[DEBUG] 14-06-2020 22:55:22.163 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3bd323e9
[DEBUG] 14-06-2020 22:55:22.164 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4ff8d125
[DEBUG] 14-06-2020 22:55:22.165 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@327bcebd
[DEBUG] 14-06-2020 22:55:22.165 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@327bcebd
[DEBUG] 14-06-2020 22:55:22.165 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@327bcebd
[DEBUG] 14-06-2020 22:55:22.166 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@1339e7aa
[DEBUG] 14-06-2020 22:55:22.166 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@1339e7aa
[DEBUG] 14-06-2020 22:55:22.167 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1339e7aa
[DEBUG] 14-06-2020 22:55:22.168 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@12359a82
[DEBUG] 14-06-2020 22:55:22.172 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@12359a82
[DEBUG] 14-06-2020 22:55:22.172 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@12359a82
[DEBUG] 14-06-2020 22:55:22.174 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@5be46f9d
[DEBUG] 14-06-2020 22:55:22.174 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@5be46f9d
[DEBUG] 14-06-2020 22:55:22.174 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5be46f9d
[DEBUG] 14-06-2020 22:55:22.175 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@30c93896
[DEBUG] 14-06-2020 22:55:22.175 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@30c93896
[DEBUG] 14-06-2020 22:55:22.176 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@30c93896
[DEBUG] 14-06-2020 22:55:22.177 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@172b013
[DEBUG] 14-06-2020 22:55:22.177 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@172b013
[DEBUG] 14-06-2020 22:55:22.177 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@172b013
